"","Land","Region","Jahr","Besucher","Dauer"
"1","Belgien","Europa",2018,920,1.72717391304348
"2","Bulgarien","Europa",2018,138,2.10144927536232
"3","Dänemark","Europa",2018,301,1.82724252491694
"4","Deutschland","Europa",2018,10564,1.70948504354411
"5","Estland","Europa",2018,24,2.125
"6","Finnland","Europa",2018,130,2.00769230769231
"7","Frankreich","Europa",2018,3401,1.55483681270215
"8","Griechenland","Europa",2018,195,2.65128205128205
"9","Irland","Europa",2018,374,2.33155080213904
"10","Island","Europa",2018,32,1.78125
"11","Italien","Europa",2018,1776,1.81531531531532
"12","Kroatien","Europa",2018,55,1.76363636363636
"13","Lettland","Europa",2018,13,2.15384615384615
"14","Liechtenstein","Europa",2018,89,1.61797752808989
"15","Litauen","Europa",2018,31,1.70967741935484
"16","Luxemburg","Europa",2018,181,1.49723756906077
"17","Malta","Europa",2018,11,1.72727272727273
"18","Niederlande","Europa",2018,1223,1.69174161896975
"19","Norwegen","Europa",2018,106,2.58490566037736
"20","Österreich","Europa",2018,892,1.88677130044843
"21","Polen","Europa",2018,400,2.235
"22","Portugal","Europa",2018,283,1.81625441696113
"23","Rumänien","Europa",2018,302,2.01986754966887
"24","Russland","Europa",2018,279,2.29749103942652
"25","Schweden","Europa",2018,405,1.75308641975309
"26","Serbien","Europa",2018,81,2.5679012345679
"27","Slowakei","Europa",2018,87,3.03448275862069
"28","Slowenien","Europa",2018,92,2.28260869565217
"29","Spanien","Europa",2018,1251,1.83373301358913
"30","Tschechische Republik","Europa",2018,175,2.28
"31","Türkei","Europa",2018,275,2.11636363636364
"32","Ukraine","Europa",2018,98,2.60204081632653
"33","Ungarn","Europa",2018,361,2.36842105263158
"34","Vereinigtes Königreich","Europa",2018,3979,2.00578034682081
"35","Weissrussland","Europa",2018,24,3.41666666666667
"36","Zypern","Europa",2018,22,2.59090909090909
"37","Übriges Europa","Europa",2018,196,2.04591836734694
"38","Vereinigte Staaten","Amerika",2018,6439,2.38437645597142
"39","Kanada","Amerika",2018,777,2.58172458172458
"40","Mexiko","Amerika",2018,101,2.56435643564356
"41","Übriges Zentralamerika, Karibik","Amerika",2018,91,2.93406593406593
"42","Argentinien","Amerika",2018,96,2.47916666666667
"43","Brasilien","Amerika",2018,305,3.21967213114754
"44","Chile","Amerika",2018,36,2.72222222222222
"45","Übriges Südamerika","Amerika",2018,108,2.55555555555556
"46","Ägypten","Afrika",2018,53,2.58490566037736
"47","Übriges Nordafrika","Afrika",2018,69,2.17391304347826
"48","Südafrika, Republik","Afrika",2018,74,3.14864864864865
"49","Übriges Afrika","Afrika",2018,155,3.32903225806452
"50","Bahrain","Asien",2018,7,2
"51","China, Volksrepublik","Asien",2018,694,2.05763688760807
"52","Hongkong","Asien",2018,69,1.95652173913043
"53","Indien","Asien",2018,455,3.56483516483517
"54","Indonesien","Asien",2018,193,1.84455958549223
"55","Israel","Asien",2018,355,2.72112676056338
"56","Japan","Asien",2018,529,2.49716446124764
"57","Katar","Asien",2018,15,9.53333333333333
"58","Korea, Republik","Asien",2018,403,1.63771712158809
"59","Kuwait","Asien",2018,7,1.57142857142857
"60","Malaysia","Asien",2018,102,2.3921568627451
"61","Oman","Asien",2018,4,2.25
"62","Philippinen","Asien",2018,42,2.69047619047619
"63","Saudi Arabien","Asien",2018,90,2.67777777777778
"64","Singapur","Asien",2018,121,3.6198347107438
"65","Taiwan","Asien",2018,121,1.93388429752066
"66","Thailand","Asien",2018,116,2.39655172413793
"67","Übriges Süd- und Ostasien","Asien",2018,191,3.06282722513089
"68","Übriges Westasien","Asien",2018,81,2.67901234567901
"69","Vereinigte Arabische Emirate","Asien",2018,64,4.109375
"70","Australien","Australien, Neuseeland, Ozeanien",2018,444,2.21621621621622
"71","Neuseeland und Ozeanien","Australien, Neuseeland, Ozeanien",2018,64,2.75
