Land,Bevölkerung,Dichte,%<20,%>65,Erwerbsquote,BIP,Motorisierung,Äquivalenzeinkommen
Belgien,11311.117,371.8,22.59882,18.237829999999999,67.599999999999994,34300,497,20820
Bulgarien,7153.7839999999997,66.2,18.329560000000001,20.43375,68.7,14200,442,6744
Tschechische Republik,10553.843000000001,136.6,19.72475,18.310030000000001,75,25600,485,12514
Dänemark,5707.2510000000002,132.4,22.97495,18.825559999999999,80,36100,419,21120
Deutschland,82175.683999999994,228.6,18.34008,21.052669999999999,77.900000000000006,36000,540,21210
Estland,1315.944,30.3,20.622689999999999,19.022469999999998,77.5,21900,514,11860
Irland,4724.72,67.900000000000006,28.035689999999999,13.21608,70.5,53300,436,...
Griechenland,10783.748,81.900000000000006,19.395,21.262119999999999,68.2,19700,...,8828
Spanien,46440.099000000002,92.5,19.834219999999998,18.721240000000002,74.2,26700,481,15175
Frankreich,66759.95,105.3,24.571580000000001,18.813320000000001,71.400000000000006,30400,484,20750
Italien,60665.550999999999,201,18.40156,22.038460000000001,64.900000000000006,28200,615,16232
Zypern,848.31899999999996,92,22.54871,15.116949999999999,73.400000000000006,24100,575,15985
Lettland,1968.9570000000001,31.8,19.63176,19.634,76.3,18800,345,9198
Litauen,2888.558,46.4,20.283100000000001,18.989650000000001,75.5,22000,431,9279
Luxemburg,576.24900000000002,220.3,22.22598,14.2225,70,75100,647,28071
Ungarn,9830.4850000000006,105.8,19.629149999999999,18.275590000000001,70.099999999999994,19700,325,8387
Malta,434.40300000000002,1369.5,19.7181,19.047059999999998,69.099999999999994,27900,634,16925
Niederlande,16979.12,502.9,22.489380000000001,18.171189999999999,79.7,37200,477,20994
Österreich,8690.0759999999991,104.8,19.628419999999998,18.471520000000002,76.2,37200,546,22524
Polen,37967.209000000003,124.1,20.2072,15.959759999999999,68.8,19900,546,10850
Portugal,10341.33,112.3,19.544830000000001,20.701630000000002,73.7,22500,...,10714
NA,19760.313999999998,86.1,20.99193,17.390509999999999,65.599999999999994,16900,261,4794
Slowenien,2064.1880000000001,102.4,19.428660000000001,18.41412,71.599999999999994,24100,523,15500
Slowakei,5426.2520000000004,110.6,20.603760000000001,14.447100000000001,71.900000000000006,22400,375,10507
Finnland,5487.308,18,21.817509999999999,20.467289999999998,75.900000000000006,31900,592,19766
Schweden,9851.0169999999998,24.1,22.734860000000001,19.766760000000001,82.1,36000,474,20706
Vereinigtes Königreich,65382.555999999997,268.60000000000002,23.526109999999999,17.934290000000001,77.3,31300,467,17521
Norwegen,5210.7209999999995,17.100000000000001,24.18552,16.40681,78,43300,497,28616
Island,332.529,3.3,26.66264,13.85533,89.3,37200,...,...
Kroatien,4190.6689999999999,74.400000000000006,20.214310000000001,19.206600000000002,65.599999999999994,17400,358,8829
Bosnien und Herzegowina,...,...,...,...,...,9300,...,...
Montenegro,622.21799999999996,45,25.002970000000001,14.065329999999999,...,13000,...,...
Nordmazedonien,2071.2779999999998,83.1,22.854199999999999,12.98701,64.5,10900,...,...
Serbien,7076.3720000000003,...,19.449940000000002,18.984559999999998,...,10700,NA,5257
Liechtenstein,37.622,234.3,20.5518,16.477060000000002,...,...,...,...
Türkei,78741.053,101.6,32.34872,8.2488600000000005,56.9,18800,134,...
Moldawien (Republik Moldau),...,...,...,...,...,...,...,...
Russland,...,...,...,...,...,...,...,...
Ukraine,42590.879000000001,...,19.88306,15.892749999999999,...,...,...,...
NA,9498.3639999999996,...,21.124590000000001,14.441549999999999,...,...,...,...
Armenien,2998.5770000000002,...,25.630520000000001,10.949529999999999,...,...,...,...
Aserbaidschan,9705.643,...,29.6721,6.1566450000000001,...,...,...,...
Georgien,3720.4,...,25.013439999999999,14.36673,...,...,...,...
San Marino,...,...,...,...,...,...,...,...
Albanien,2886.0259999999998,105.5,25.756250000000001,12.85765,...,8500,...,...
